         11929346 function calls (11503602 primitive calls) in 10.075 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      859    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:4958(_record_op_seen_by_control_dependencies)
      410    0.001    0.000    0.075    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1601    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:5418(_distribution_strategy_stack)
     1176    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:778(items)
  531/408    0.001    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\training.py:294(__setattr__)
     3756    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:526(dtype)
        1    0.001    0.001    0.247    0.247 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\dqn_model.py:75(save_as_function)
      400    0.001    0.000    0.018    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:2887(push_uci)
      475    0.001    0.000    0.006    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\tf_contextlib.py:21(contextmanager)
      894    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\tensor_shape.py:1213(as_list)
        3    0.001    0.000    0.018    0.006 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\origin_info.py:85(create_source_map)
     1412    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:531(graph)
      164    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:7333(_copy_handle_data_to_arg_def)
      571    0.001    0.000    0.006    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\op_def_library.py:51(_SatisfiesTypeConstraint)
  719/666    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\data_structures.py:94(wrap_or_unwrap)
      878    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:3384(_from_chess960)
      250    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\tape.py:104(variable_accessed)
      124    0.001    0.000    0.001    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphGetOpDef}
     1989    0.001    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\nest.py:1603(yield_flat_paths)
      965    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\object_identity.py:199(add)
      445    0.001    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:5583(control_dependencies)
     1396    0.001    0.000    0.005    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:550(shape)
      162    0.001    0.000    0.001    0.000 {built-in method tensorflow.python.util._pywrap_utils.AssertSameStructure}
     1153    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsEmpty}
        3    0.001    0.000    0.003    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\graph_view.py:153(get_checkpoint_factories_and_keys)
       92    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:7305(set_int_list_attr)
      785    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\threading.py:374(notify_all)
     2259    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\inspect.py:2847(<genexpr>)
     2355    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\lock_util.py:109(_validate_group_id)
      128    0.001    0.000    0.050    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\gen_resource_variable_ops.py:455(read_variable_op)
      639    0.001    0.000    0.001    0.000 {method 'extend' of 'google.protobuf.pyext._message.RepeatedCompositeContainer' objects}
      814    0.001    0.000    0.006    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:515(_create_with_tf_output)
        1    0.001    0.001    0.757    0.757 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\saving\save.py:36(save_model)
      224    0.001    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\handle_data_util.py:52(set_handle_data)
       45    0.001    0.000    0.008    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\resource_variable_ops.py:143(_variable_handle_from_shape_and_dtype)
      440    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\saved_model\registration.py:103(get_registered_name)
       98    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function.py:2478(__init__)
      383    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:4878(__enter__)
     1100    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:217(uid)
    718/6    0.001    0.000    0.006    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\origin_info.py:216(visit)
      783    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\control_flow_util.py:262(CheckInputFromValidContext)
     2681    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\object_identity.py:182(<genexpr>)
      374    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\base_layer.py:2927(_gather_children_attribute)
      195    0.001    0.000    0.001    0.000 {built-in method FromString}
     1062    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:2122(<genexpr>)
      401    0.001    0.000    0.376    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function.py:1551(__call__)
      361    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\func_graph.py:421(control_dependencies)
    23/21    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6574(dismantle_graph)
     3070    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
      450    0.001    0.000    0.020    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1563(convert_to_tensor_v2)
      967    0.001    0.000    0.001    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsMutableMapping}
  661/501    0.001    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\data_structures.py:132(sticky_attribute_assignment)
     3121    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      110    0.001    0.000    0.010    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\saved_model\save.py:1143(_write_object_proto)
      707    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\backprop.py:164(_must_record_gradient)
      785    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:5441(_mutation_lock)
      944    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\utils\tf_inspect.py:360(isclass)
      254    0.001    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\resource_variable_ops.py:324(variable_accessed)
      975    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\base_layer.py:2938(_flatten_layers)
     2299    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:941(_as_tf_output)
     2045    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      150    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\static_analysis\reaching_definitions.py:87(__or__)
      226    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\traitlets\traitlets.py:1542(_get_trait_default_generator)
      152    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function_cache.py:217(__del__)
     4412    0.001    0.000    0.001    0.000 {method 'clear' of 'list' objects}
   238/92    0.001    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\static_analysis\activity.py:142(copy_from)
     1326    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\op_def_registry.py:32(get)
       15    0.001    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\traitlets\traitlets.py:1035(setup_instance)
     1718    0.001    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\traceable_stack.py:113(peek_traceable_objs)
      402    0.001    0.000    0.042    0.000 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:110(current_state)
      201    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\contextlib.py:470(__exit__)
      430    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\tensor_shape.py:1199(is_fully_defined)
  227/199    0.000    0.000    0.005    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\qual_names.py:229(visit_Attribute)
     1570    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\lock_util.py:106(<genexpr>)
      785    0.000    0.000    0.005    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\lock_util.py:128(__exit__)
     1200    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:3550(__iter__)
      183    0.000    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\base.py:961(_track_trackable)
     1295    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\base.py:742(_maybe_initialize_trackable)
     1050    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       62    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\input_spec.py:155(assert_input_compatibility)
2076/1042    0.000    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function_trace_type.py:170(__hash__)
      494    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\base_layer.py:2786(_obj_reference_counts)
      971    0.000    0.000    0.002    0.000 {method 'throw' of 'generator' objects}
   306/60    0.000    0.000    0.033    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\transformer.py:278(visit_block)
      541    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:4190(as_default)
      269    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\distribute\distribution_strategy_context.py:76(_get_per_thread_mode)
     3258    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:2585(graph)
     1706    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      547    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:6277(_resource_resolver)
       28    0.000    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\traitlets\traitlets.py:1594(traits)
      181    0.000    0.000    0.012    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\tf_inspect.py:247(getfullargspec)
      400    0.000    0.000    2.988    0.007 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:252(max_Q)
     1417    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\tensor_shape.py:196(__init__)
     4001    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:1661(is_variant_end)
        2    0.000    0.000    0.059    0.029 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\lift_to_graph.py:202(lift_to_graph)
      143    0.000    0.000    0.512    0.004 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\def_function.py:1218(_get_concrete_function_garbage_collected)
       44    0.000    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\saving\saved_model\save_impl.py:312(_reset_layer_losses)
     2905    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:521(op)
       45    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function.py:1508(_initialize_function_spec)
      355    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\op_def_library.py:187(_MakeType)
      285    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.EqualAttrValueWrapper}
     1341    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\tokenize.py:98(_compile)
      491    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6803(__exit__)
     1035    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:340(__hash__)
      985    0.000    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\ast.py:369(walk)
      708    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function_trace_type.py:118(_has_same_structure)
      318    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:3976(_as_graph_element_locked)
  414/397    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\qual_names.py:160(__eq__)
        8    0.000    0.000    0.129    0.016 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\functional.py:545(_run_internal_graph)
        2    0.000    0.000    0.003    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\graph_view.py:327(_add_attributes_to_object_graph_for_saveable_objects)
 1085/158    0.000    0.000    0.021    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\gast\astn.py:11(<listcomp>)
       76    0.000    0.000    0.010    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:2590(node_def)
    349/3    0.000    0.000    0.004    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\static_analysis\reaching_fndefs.py:149(visit)
     1490    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:3771(<genexpr>)
     1996    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:3652(building_function)
      242    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\base_layer.py:2810(__delattr__)
      194    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:7323(get_resource_handle_data)
       45    0.000    0.000    0.046    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function.py:1423(__init__)
     1448    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\graph_view.py:66(<genexpr>)
      400    0.000    0.000    0.074    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:486(put)
     1050    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\graph_view.py:54(_escape_local_name)
      383    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:4888(__exit__)
      194    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.GetHandleShapeAndType}
     1369    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\types.py:171(__get__)
      446    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetPossibleGradientTypes}
    44/32    0.000    0.000    0.165    0.005 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\def_function.py:882(__call__)
    41/33    0.000    0.000    0.522    0.016 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function.py:3112(_create_graph_function)
       28    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\traitlets\traitlets.py:1608(<listcomp>)
       55    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\resource_variable_ops.py:359(__init__)
      547    0.000    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:642(_identity_resolver)
     1330    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\traceable_stack.py:117(__len__)
     3165    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       87    0.000    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\func_graph.py:83(encode_arg)
     1039    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\graph_view.py:278(root)
      357    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\data_structures.py:556(_checkpoint_dependencies)
      383    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:4967(control_dependencies)
       44    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\saved_model\nested_structure_coder.py:403(do_encode)
       49    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_AddInputList}
     1106    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:4390(_name_stack)
      644    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\tape.py:150(stop_recording)
      400    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\execute.py:275(<listcomp>)
       79    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:756(set_shape)
      197    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:290(__init__)
      698    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:269(pop)
      549    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\utils\object_identity.py:136(__getitem__)
    54/32    0.000    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\saved_model\nested_structure_coder.py:184(do_encode)
     3272    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      776    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\nest.py:146(is_namedtuple)
     2236    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      170    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:2626(_set_attr)
       16    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\saved_model\nested_structure_coder.py:228(do_encode)
      673    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:4127(_get_operation_by_tf_operation)
  418/406    0.000    0.000    0.023    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\nest.py:914(<listcomp>)
      197    0.000    0.000    0.009    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function_cache.py:228(make_cache_key)
      541    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:2232(graph_mode)
      115    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\auto_control_deps_utils.py:59(_get_read_only_resource_input_indices_op)
      400    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:2949(is_zeroing)
      116    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:122(__init__)
      362    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\op_def_library.py:735(<listcomp>)
      482    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\c_api_util.py:100(has_been_garbage_collected)
       50    0.000    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\static_analysis\reaching_definitions.py:119(visit_node)
      592    0.000    0.000    0.003    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\saving\saved_model\utils.py:277(no_automatic_dependency_tracking_scope)
      547    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\control_flow_util.py:78(IsInWhileLoop)
      432    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\tensor_util.py:1086(maybe_set_static_shape)
     2165    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      312    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:343(__eq__)
      383    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:4913(_pop_control_dependencies_controller)
     1042    0.000    0.000    0.006    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function_cache.py:91(__hash__)
        1    0.000    0.000    0.015    0.015 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\saved_model\save.py:405(map_resources)
      362    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\op_def_library.py:103(_Flatten)
      547    0.000    0.000    0.002    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:159(collective_manager_ids_from_op)
      450    0.000    0.000    0.021    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1495(convert_to_tensor_v2_with_dispatch)
      572    0.000    0.000    0.001    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\_weakrefset.py:27(__exit__)
      753    0.000    0.000    0.000    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\tensor_spec.py:55(shape)
       42    0.000    0.000    0.121    0.003 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\def_function.py:1190(_list_all_concrete_functions_for_serialization)
       18    0.000    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\base_layer.py:317(__init__)
      197    0.000    0.000    0.007    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function_cache.py:148(lookup)
