         11929346 function calls (11503602 primitive calls) in 10.075 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   195454    0.043    0.000    0.043    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\array_ops.py:1530(<genexpr>)
    68179    0.042    0.000    0.042    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\dtypes.py:50(_is_ref_dtype)
    32705    0.038    0.000    0.105    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6979(__exit__)
    97672    0.037    0.000    1.831    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\constant_op.py:340(_constant_tensor_conversion_function)
    97674    0.036    0.000    0.396    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\array_ops.py:1534(_autopacking_conversion_function)
     8644    0.035    0.000    0.035    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
    44357    0.035    0.000    0.079    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:1479(generate_pseudo_legal_moves)
      573    0.033    0.000    0.033    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
   161952    0.033    0.000    0.033    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\xml\etree\ElementTree.py:1049(_escape_attrib)
    32552    0.032    0.000    0.604    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\array_ops.py:1123(strided_slice)
    44484    0.032    0.000    0.052    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:428(from_symbol)
    89792    0.030    0.000    0.051    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:617(piece_at)
      800    0.030    0.000    0.079    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:1129(__str__)
    18178    0.029    0.000    0.304    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\math_ops.py:1962(tensor_equals)
   291039    0.029    0.000    0.029    0.000 {method 'append' of 'list' objects}
   289726    0.028    0.000    0.028    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:2057(context_safe)
    44884    0.027    0.000    0.053    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:829(_set_piece_at)
   113193    0.026    0.000    0.026    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:885(_handle)
    37679    0.025    0.000    0.113    0.000 {built-in method _abc._abc_instancecheck}
   135876    0.025    0.000    0.025    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:627(piece_type_at)
    18178    0.025    0.000    0.181    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\gen_math_ops.py:4064(greater)
      400    0.024    0.000    0.074    0.000 {method 'put' of 'numpy.ndarray' objects}
    41340    0.023    0.000    0.163    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:3318(generate_legal_moves)
      781    0.022    0.000    0.022    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
     8644    0.021    0.000    0.058    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\xml\etree\ElementTree.py:1334(XML)
    36370    0.021    0.000    0.082    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1133(__bool__)
45173/39151    0.020    0.000    0.239    0.000 {built-in method builtins.next}
    32661    0.020    0.000    0.020    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:939(scope_name)
    68179    0.020    0.000    0.062    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\dtypes.py:63(base_dtype)
     1200    0.020    0.000    0.193    0.000 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:153(<listcomp>)
    63928    0.020    0.000    0.046    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\math_ops.py:1343(maybe_promote_tensors)
     6432    0.019    0.000    0.050    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\svg.py:112(_coord)
    42623    0.019    0.000    0.047    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:3280(_is_safe)
   155124    0.019    0.000    0.019    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
    81328    0.019    0.000    0.024    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:214(scan_reversed)
    32643    0.019    0.000    0.056    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6969(_restore_name_scope)
    18178    0.019    0.000    0.204    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\math_ops.py:1872(wrapper)
    45284    0.018    0.000    0.027    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:793(_remove_piece_at)
   113130    0.018    0.000    0.019    0.000 {built-in method builtins.issubclass}
    32705    0.018    0.000    0.021    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6927(__init__)
    18178    0.018    0.000    0.200    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\gen_math_ops.py:3271(equal)
    21568    0.018    0.000    0.020    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\dtypes.py:678(as_dtype)
    12986    0.017    0.000    0.182    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\gen_math_ops.py:11034(sub)
    12576    0.017    0.000    0.160    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\gen_math_ops.py:7847(real_div)
   113354    0.016    0.000    0.168    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:546(ensure_initialized)
     2588    0.016    0.000    0.016    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
    32559    0.016    0.000    0.016    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6728(<genexpr>)
     9017    0.015    0.000    0.015    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:697(_attackers_mask)
   114926    0.015    0.000    0.016    0.000 {method 'get' of 'dict' objects}
    32552    0.015    0.000    0.096    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\array_ops.py:886(_check_index)
    37736    0.015    0.000    0.021    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:452(uci)
  362/337    0.015    0.000    0.156    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\op_def_library.py:313(_apply_op_helper)
    48966    0.014    0.000    0.073    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1187(_numpy)
    49518    0.014    0.000    0.014    0.000 {method 'pop' of 'list' objects}
        8    0.014    0.002    0.014    0.002 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphToGraphDef}
      400    0.014    0.000    3.066    0.008 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:144(<dictcomp>)
   253270    0.014    0.000    0.014    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\codecs.py:276(reset)
 7994/245    0.014    0.000    0.090    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\ast.py:477(generic_visit)
72592/72511    0.014    0.000    0.016    0.000 {built-in method builtins.hasattr}
     1268    0.014    0.000    0.016    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
      402    0.013    0.000    0.036    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:867(board_fen)
      534    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
      598    0.012    0.000    3.472    0.006 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:250(<listcomp>)
       43    0.012    0.000    0.012    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
   151169    0.012    0.000    0.012    0.000 {method 'lower' of 'str' objects}
     2201    0.011    0.000    0.226    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:2221(set_fen)
     1202    0.011    0.000    0.011    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:1914(is_repetition)
    75060    0.011    0.000    0.011    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:390(__init__)
      859    0.011    0.000    0.105    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:2037(__init__)
    81904    0.011    0.000    0.011    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
      550    0.011    0.000    0.011    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GetBuffer}
    12576    0.011    0.000    0.584    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\math_ops.py:1558(truediv)
    18796    0.011    0.000    0.014    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:504(__getattr__)
        2    0.011    0.005    0.011    0.005 {built-in method tensorflow.python.lib.io._pywrap_file_io.RenameFile}
     2878    0.010    0.000    0.010    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
    37679    0.010    0.000    0.123    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\abc.py:96(__instancecheck__)
    26460    0.010    0.000    0.021    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:394(symbol)
  5107/66    0.009    0.000    0.086    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\transformer.py:417(visit)
        1    0.009    0.009    0.017    0.017 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\lib\io\file_io.py:102(read)
    43556    0.009    0.000    0.009    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:446(__init__)
    37736    0.009    0.000    0.030    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:489(__str__)
    14214    0.009    0.000    0.114    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\tensor_conversion_registry.py:46(_default_conversion_function)
